NJD vs PIT A:1-4 | H:2-1(so) | H:2-4 | A:3-7 | A:3-2(so) | H:3-0 | H:3-6
CGY vs SJS H:3-2 | A:3-6 | H:2-0 | H:5-2 | A:3-2 | H:3-2 | A:3-1
TBL vs CAR H:6-4 | A:1-4 | H:3-2 | A:4-1 | A:8-2 | H:0-4 | H:3-0
CAR vs TBL A:4-6 | H:4-1 | A:2-3 | H:1-4 | H:2-8 | A:4-0 | A:0-3
FLA vs TOR A:1-4 | H:1-4 | A:6-1 | H:0-2 | A:6-1 | H:2-0 | H:5-4(ot)
CBJ vs BOS A:0-4 | H:6-2 | A:5-1 | H:1-4 | A:1-3 | H:5-2 | A:1-2(ot)
NYI vs MTL H:4-3(ot) | A:1-2(ot) | H:4-3(so) | H:3-2(ot) | A:3-4 | A:3-5 | H:4-2
TOR vs FLA H:4-1 | A:4-1 | H:1-6 | A:2-0 | H:1-6 | A:0-2 | A:4-5(ot)
SJS vs CGY A:2-3 | H:6-3 | A:0-2 | A:2-5 | H:2-3 | A:2-3 | H:1-3
BOS vs CBJ H:4-0 | A:2-6 | H:1-5 | A:4-1 | H:3-1 | A:2-5 | H:2-1(ot)
LAK vs EDM A:4-3(so) | A:4-6 | H:1-3 | A:3-4(ot) | A:4-7 | H:6-2 | H:6-5
DET vs OTT H:4-3(ot) | A:5-3 | H:3-4 | A:1-2 | H:3-2(ot) | A:1-2 | H:2-3(ot)
CHI vs NSH A:3-0 | H:3-4 | A:2-3(ot) | H:6-2 | A:2-3(so) | H:2-3 | H:1-5
SEA vs STL A:4-3(ot) | H:4-3(so) | A:2-7 | H:2-3 | A:1-4 | H:3-4(ot) | A:1-2(so)
NSH vs CHI H:0-3 | A:4-3 | H:3-2(ot) | A:2-6 | H:3-2(so) | A:3-2 | A:5-1
NYR vs PHI A:6-3 | H:5-4(so) | H:5-8 | H:6-1 | A:1-3 | H:1-4 | H:6-5(ot)
COL vs MIN A:5-1 | A:2-3(so) | A:1-2(so) | H:5-2 | H:1-3 | A:6-1 | H:5-2
PIT vs NJD H:4-1 | A:1-2(so) | A:4-2 | H:7-3 | H:2-3(so) | A:0-3 | A:6-3
EDM vs LAK H:3-4(so) | H:6-4 | A:3-1 | H:4-3(ot) | H:7-4 | A:2-6 | A:5-6
MIN vs COL H:1-5 | H:3-2(so) | H:2-1(so) | A:2-5 | A:3-1 | H:1-6 | A:2-5
OTT vs DET A:3-4(ot) | H:3-5 | A:4-3 | H:2-1 | A:2-3(ot) | H:2-1 | A:3-2(ot)
MTL vs NYI A:3-4(ot) | H:2-1(ot) | A:3-4(so) | A:2-3(ot) | H:4-3 | H:5-3 | A:2-4
STL vs SEA H:3-4(ot) | A:3-4(so) | H:7-2 | A:3-2 | H:4-1 | A:4-3(ot) | H:2-1(so)
PHI vs NYR H:3-6 | A:4-5(so) | A:8-5 | A:1-6 | H:3-1 | A:4-1 | A:5-6(ot)
