Team                       GP   W   L  OTL  Pts  GF  GA Diff Strk 
Colorado Avalanche         52  35   8   9   79  203 134   69   L2
Minnesota Wild             55  31  14  10   72  179 158   21   W2
Dallas Stars               54  31  14   9   71  181 151   30   W3
Utah Mammoth               54  28  22   4   60  171 151   20   L1
Nashville Predators        53  24  23   6   54  152 180  -28  OT2
Chicago Blackhawks         54  21  24   9   51  146 174  -28   L1
Winnipeg Jets              53  21  25   7   49  154 165  -11   L1
St. Louis Blues            54  20  25   9   49  135 187  -52   W1
Vegas Golden Knights       53  25  14  14   64  177 169    8  OT2
Edmonton Oilers            55  28  19   8   64  190 178   12   W3
Seattle Kraken             53  25  19   9   59  153 157   -4   W3
Anaheim Ducks              54  28  23   3   59  177 190  -13   L2
San Jose Sharks            52  27  21   4   58  164 180  -16  OT1
Los Angeles Kings          52  22  17  13   57  138 148  -10   L1
Calgary Flames             53  21  26   6   48  133 160  -27   L1
Vancouver Canucks          54  18  31   5   41  143 196  -53   W1
Tampa Bay Lightning        52  34  14   4   72  183 131   52   W2
Detroit Red Wings          55  32  17   6   70  171 166    5  OT1
Buffalo Sabres             53  31  17   5   67  183 160   23   W5
Montréal Canadiens         54  30  17   7   67  187 180    7   W2
Boston Bruins              55  32  20   3   67  186 171   15   W2
Florida Panthers           53  28  22   3   59  164 174  -10   L2
Ottawa Senators            53  25  21   7   57  179 176    3   W2
Toronto Maple Leafs        54  24  21   9   57  176 188  -12   L4
Carolina Hurricanes        53  33  15   5   71  185 154   31   W2
Pittsburgh Penguins        52  27  14  11   65  175 154   21   W5
New York Islanders         54  30  19   5   65  157 149    8   W3
Washington Capitals        55  26  22   7   59  175 167    8   W1
New Jersey Devils          54  28  24   2   58  144 165  -21   W1
Columbus Blue Jackets      52  25  20   7   57  163 172   -9   W3
Philadelphia Flyers        53  24  20   9   57  160 173  -13   L3
New York Rangers           55  22  27   6   50  146 172  -26   L2

